PLAYER,TEAM,YEAR,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
A.J. Lawson,DAL,2023,22,06-Jun,179,South Carolina,Canada,Undrafted,Undrafted,Undrafted,15,3.7,1.4,0.1,-20.1,4.6,15.2,18.9,58.9,3.2
AJ Green,MIL,2023,23,05-Jun,190,Northern Iowa,USA,Undrafted,Undrafted,Undrafted,35,4.4,1.3,0.6,-4.9,1.6,10.5,15.9,60.7,9.2
AJ Griffin,ATL,2023,19,06-Jun,220,Duke,USA,2022,1,16,72,8.9,2.1,1,1.5,2.6,8,17.4,57.7,7
Aaron Gordon,DEN,2023,27,08-Jun,235,Arizona,USA,2014,1,4,68,16.3,6.6,3,12.1,8.6,13.6,20.6,61.7,12.9
Aaron Holiday,ATL,2023,26,6-0,185,UCLA,USA,2018,1,23,63,3.9,1.2,1.4,0.9,2.8,5.9,12.9,52.8,13.5
Aaron Nesmith,IND,2023,23,05-Jun,215,Vanderbilt,USA,2020,1,14,73,10.1,3.8,1.3,-4.7,3.3,11.9,16.8,56.6,7.3
Aaron Wiggins,OKC,2023,24,05-Jun,190,Maryland,USA,2021,2,55,70,6.8,3,1.1,1.5,5,10.9,14.3,60.7,8.4
Admiral Schofield,ORL,2023,26,05-Jun,241,Tennessee,United Kingdom,2019,2,42,37,4.2,1.7,0.8,-8.3,4.7,9.2,13.9,58.7,10.3
Al Horford,BOS,2023,37,09-Jun,240,Florida,Dominican Republic,2007,1,3,63,9.8,6.2,3,7.8,3.9,15.9,11.9,63.1,12.8
Alec Burks,DET,2023,31,06-Jun,214,Colorado,USA,2011,1,12,51,12.8,3.1,2.2,-1,1.7,12.4,21.8,60.2,15
Aleksej Pokusevski,OKC,2023,21,7-0,210,None,Serbia,2020,1,17,34,8.1,4.7,1.9,-12.7,5.8,16,17.9,52.2,13
Alex Caruso,CHI,2023,29,05-Jun,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,67,5.6,2.9,2.9,6.1,2.8,9.9,10.9,58.8,15.5
Alex Len,SAC,2023,29,02-Jul,250,Maryland,Ukraine,2013,1,5,26,1.7,2.3,0.5,6.6,14.3,19.4,13.2,58,9.9
Alize Johnson,SAS,2023,27,08-Jun,212,Missouri State,USA,2018,2,50,4,1.8,2.5,0.3,19,6.3,21.1,14.5,50.9,4.2
Alondes Williams,BKN,2023,23,04-Jun,210,Wake Forest,USA,Undrafted,Undrafted,Undrafted,1,0,1,0,-53,0,25,14.3,0,0
Alperen Sengun,HOU,2023,20,11-Jun,243,None,Turkey,2021,1,16,75,14.8,9,3.9,-7.8,10.7,20.4,21.1,59.9,19.9
Amir Coffey,LAC,2023,25,07-Jun,210,Minnesota,USA,Undrafted,Undrafted,Undrafted,50,3.4,1.1,1.1,-8.9,2.6,5.5,12.8,49.8,11.9
Andre Drummond,CHI,2023,29,11-Jun,279,Connecticut,USA,2012,1,9,67,6,6.6,0.5,2.6,16,35.3,19.6,60.6,5.7
Andre Iguodala,GSW,2023,39,06-Jun,215,Arizona,USA,2004,1,9,8,2.1,2.1,2.4,12,2.7,11.3,8.9,52.1,18.3
Andrew Nembhard,IND,2023,23,03-Jun,191,Gonzaga,Canada,2022,2,31,75,9.5,2.7,4.5,-5.9,1.6,7.8,15.9,52.8,22.2
Andrew Wiggins,GSW,2023,28,07-Jun,197,Kansas,Canada,2014,1,1,37,17.1,5,2.3,5.2,5,10.1,21.2,56.4,10
Anfernee Simons,POR,2023,23,03-Jun,181,None,USA,2018,1,24,62,21.1,2.6,4.1,-1.6,0.8,6.7,24.7,58.1,18.6
Anthony Davis,LAL,2023,30,10-Jun,253,Kentucky,USA,2012,1,1,56,25.9,12.5,2.6,4.8,10.2,24.8,27.7,62.7,12.8
Anthony Edwards,MIN,2023,21,04-Jun,225,Georgia,USA,2020,1,1,79,24.6,5.8,4.4,1.9,1.7,13.9,29.2,56.4,19.2
Anthony Gill,WAS,2023,30,08-Jun,230,Virginia,USA,Undrafted,Undrafted,Undrafted,59,3.3,1.7,0.6,-0.8,5.8,10,11.6,60.4,7.4
Anthony Lamb,GSW,2023,25,06-Jun,227,Vermont,USA,Undrafted,Undrafted,Undrafted,62,6.7,3.5,1.5,1.7,4.7,12.9,13.6,61,11.1
Austin Reaves,LAL,2023,25,05-Jun,197,Oklahoma,USA,Undrafted,Undrafted,Undrafted,64,13,3,3.4,4.9,1.8,7.9,15.4,68.7,15.5
Austin Rivers,MIN,2023,30,04-Jun,200,Duke,USA,2012,1,10,52,4.9,1.6,1.4,-4.9,0.5,7.8,10.4,56.4,9.5
Ayo Dosunmu,CHI,2023,23,05-Jun,200,Illinois,USA,2021,2,38,80,8.6,2.8,2.6,-1.3,2.2,8.1,14.5,56.7,13.5
Bam Adebayo,MIA,2023,25,09-Jun,255,Kentucky,USA,2017,1,14,75,20.4,9.2,3.2,1.8,7.3,20.6,25.1,59.2,15.4
Ben Simmons,BKN,2023,26,10-Jun,240,Louisiana State,Australia,2016,1,1,42,6.9,6.3,6.1,2.1,4,18.6,14.2,55.9,29.5
Bennedict Mathurin,IND,2023,20,05-Jun,210,Arizona,Canada,2022,1,6,78,16.7,4.1,1.5,-4.3,3.7,10.3,23.5,56.6,7.8
Bismack Biyombo,PHX,2023,30,08-Jun,255,None,DRC,2011,1,7,61,4.3,4.3,0.9,3.1,9.3,18.4,13.6,55.5,8.9
Blake Griffin,BOS,2023,34,09-Jun,250,Oklahoma,USA,2009,1,1,41,4.1,3.8,1.5,9.9,7.9,19.5,12.5,59,14.2
Blake Wesley,SAS,2023,20,04-Jun,185,Notre Dame,USA,2022,1,25,37,5,2.2,2.6,-13.4,1.6,10.1,18,39.3,20.1
Boban Marjanovic,HOU,2023,34,04-Jul,290,None,Serbia,Undrafted,Undrafted,Undrafted,31,3.3,1.9,0.3,18.5,12.1,22.6,20.6,71,7.9
Bobby Portis,MIL,2023,28,11-Jun,250,Arkansas,USA,2015,1,22,70,14.1,9.6,1.5,-0.1,8,26.3,21.1,57.5,8.7
Bogdan Bogdanovic,ATL,2023,30,05-Jun,225,None,Serbia,2014,1,27,54,14,3.1,2.8,1.2,1.5,9.3,19.6,58.6,13.4
Bojan Bogdanovic,DET,2023,34,07-Jun,226,None,Croatia,2011,2,31,59,21.6,3.8,2.6,-8.2,1.8,9.9,25.1,62.7,13.3
Bol Bol,ORL,2023,23,02-Jul,220,Oregon,Sudan,2019,2,44,70,9.1,5.8,1,-4.4,4.6,22,17.7,60.3,6.9
Bones Hyland,LAC,2023,22,02-Jun,169,Virginia Commonwealth,USA,2021,1,26,56,11.8,2.4,3.1,-5.3,1.9,11.1,27.1,53.5,24.5
Bradley Beal,WAS,2023,29,04-Jun,207,Florida,USA,2012,1,3,50,23.2,3.9,5.4,0.7,2.6,9.1,28.8,59.3,26
Brandon Boston Jr.,LAC,2023,21,06-Jun,188,Kentucky,USA,2021,2,51,22,6.5,1.4,0.9,-7.7,2.4,9.8,23.7,51.5,12.9
Brandon Clarke,MEM,2023,26,08-Jun,215,Gonzaga,Canada,2019,1,21,56,10,5.5,1.3,0.7,7.9,17.7,17.4,68.1,10
Brandon Ingram,NOP,2023,25,08-Jun,190,Duke,USA,2016,1,2,45,24.7,5.5,5.8,3,1.5,14.5,30.6,58.2,27.7
Braxton Key,DET,2023,26,08-Jun,225,Virginia,USA,Undrafted,Undrafted,Undrafted,3,1.3,0.3,0,-4.5,0,6.7,9.1,106.4,0
Brook Lopez,MIL,2023,35,01-Jul,282,Stanford,USA,2008,1,10,78,15.9,6.7,1.3,7.1,6.4,13.5,18.7,63,6
Bruce Brown,DEN,2023,26,04-Jun,202,Miami,USA,2018,2,42,80,11.5,4.1,3.4,0.8,2.9,11.6,17.4,57.1,16.4
